Date,Rank,Title,Type,Netflix Release Date,Days In Top 10
5/6/2020,2,Hollywood,TV Show,1-May-20,4
5/6/2020,3,Arctic Dogs,Movie,4-May-20,2
5/6/2020,4,Dangerous Lies,Movie,30-Apr-20,6
5/6/2020,5,Never Have I Ever,TV Show,27-Apr-20,9
5/6/2020,6,Jerry Seinfeld: 23 Hours to…,Stand-Up Comedy,5-May-20,1
5/6/2020,7,All Day and a Night,Movie,1-May-20,5
5/6/2020,8,Den of Thieves,Movie,1-May-20,4
5/6/2020,9,Extraction,Movie,24-Apr-20,12
5/6/2020,10,The Last Kingdom,TV Show,10-Jul-16,10
5/7/2020,1,Outer Banks,TV Show,15-Apr-20,22
5/7/2020,2,Hollywood,TV Show,1-May-20,5
5/7/2020,3,Jerry Seinfeld: 23 Hours to…,Stand-Up Comedy,5-May-20,2
5/7/2020,4,Never Have I Ever,TV Show,27-Apr-20,10
5/7/2020,5,Becoming,Movie,6-May-20,1
5/7/2020,6,Dangerous Lies,Movie,30-Apr-20,7
5/7/2020,7,Workin' Moms,TV Show,22-Feb-19,1
5/7/2020,8,Arctic Dogs,Movie,4-May-20,3
5/7/2020,9,Den of Thieves,Movie,1-May-20,5
5/7/2020,10,All Day and a Night,Movie,1-May-20,6
5/8/2020,1,Outer Banks,TV Show,15-Apr-20,23
5/8/2020,2,Hollywood,TV Show,1-May-20,6
5/8/2020,3,Becoming,Movie,6-May-20,2
5/8/2020,4,Workin' Moms,TV Show,22-Feb-19,2
5/8/2020,5,Jerry Seinfeld: 23 Hours to…,Stand-Up Comedy,5-May-20,3
5/8/2020,6,Never Have I Ever,TV Show,27-Apr-20,11
5/8/2020,7,Den of Thieves,Movie,1-May-20,6
5/8/2020,8,Arctic Dogs,Movie,4-May-20,4
5/8/2020,9,Dangerous Lies,Movie,30-Apr-20,8
5/8/2020,10,Ozark,TV Show,21-Jul-17,37
5/9/2020,1,Dead to Me,TV Show,3-May-19,1
5/9/2020,2,Outer Banks,TV Show,15-Apr-20,24
5/9/2020,3,Hollywood,TV Show,1-May-20,7
5/9/2020,4,Workin' Moms,TV Show,22-Feb-19,3
5/9/2020,5,Becoming,Movie,6-May-20,3
5/9/2020,6,Sleepless,Movie,9-May-20,1
5/9/2020,7,Never Have I Ever,TV Show,27-Apr-20,12
5/9/2020,8,Jerry Seinfeld: 23 Hours to…,Stand-Up Comedy,5-May-20,4
5/9/2020,9,Den of Thieves,Movie,1-May-20,7
5/9/2020,10,Too Hot to Handle,TV Show,17-Apr-20,15
5/10/2020,1,Dead to Me,TV Show,3-May-19,2
5/10/2020,2,Outer Banks,TV Show,15-Apr-20,25
5/10/2020,3,Sleepless,Movie,9-May-20,2
5/10/2020,4,Hollywood,TV Show,1-May-20,8
5/10/2020,5,Becoming,Movie,6-May-20,4
5/10/2020,6,Workin' Moms,TV Show,22-Feb-19,4
5/10/2020,7,Den of Thieves,Movie,1-May-20,8
5/10/2020,8,Jerry Seinfeld: 23 Hours to…,Stand-Up Comedy,5-May-20,5
5/10/2020,9,Extraction,Movie,24-Apr-20,13
5/10/2020,10,Never Have I Ever,TV Show,27-Apr-20,13
5/11/2020,1,Dead to Me,TV Show,3-May-19,3
5/11/2020,2,Outer Banks,TV Show,15-Apr-20,26
5/11/2020,3,John Henry,Movie,9-May-20,1
5/11/2020,4,Sleepless,Movie,9-May-20,3
5/11/2020,5,Hollywood,TV Show,1-May-20,9
5/11/2020,6,Becoming,Movie,6-May-20,5
5/11/2020,7,Extraction,Movie,24-Apr-20,14
5/11/2020,8,Den of Thieves,Movie,1-May-20,9
5/11/2020,9,Workin' Moms,TV Show,22-Feb-19,5
5/11/2020,10,Ozark,TV Show,21-Jul-17,38
5/12/2020,1,Dead to Me,TV Show,3-May-19,4
5/12/2020,2,John Henry,Movie,9-May-20,2
5/12/2020,3,Outer Banks,TV Show,15-Apr-20,27
5/12/2020,4,Sleepless,Movie,9-May-20,4
5/12/2020,5,Hollywood,TV Show,1-May-20,10
5/12/2020,6,Grey's Anatomy,TV Show,15-Sep-14,1
5/12/2020,7,Ozark,TV Show,21-Jul-17,39
5/12/2020,8,Workin' Moms,TV Show,22-Feb-19,6
5/12/2020,9,Never Have I Ever,TV Show,27-Apr-20,14
5/12/2020,10,The Last Kingdom,TV Show,10-Jul-16,11
5/13/2020,1,Dead to Me,TV Show,3-May-19,5
5/13/2020,2,John Henry,Movie,9-May-20,3
5/13/2020,3,Outer Banks,TV Show,15-Apr-20,28
5/13/2020,4,Sleepless,Movie,9-May-20,5
5/13/2020,5,Have a Good Trip: Adventure…,Movie,11-May-20,1
5/13/2020,6,Grey's Anatomy,TV Show,15-Sep-14,2
5/13/2020,7,Trial by Media,TV Show,11-May-20,1
5/13/2020,8,Hollywood,TV Show,1-May-20,11
5/13/2020,9,Ozark,TV Show,21-Jul-17,40
5/13/2020,10,House at the End of the Street,Movie,8-May-13,1
5/14/2020,1,Dead to Me,TV Show,3-May-19,6
5/14/2020,2,The Wrong Missy,Movie,13-May-20,1
5/14/2020,3,Outer Banks,TV Show,15-Apr-20,29
5/14/2020,4,John Henry,Movie,9-May-20,4
5/14/2020,5,Trial by Media,TV Show,11-May-20,2
5/14/2020,6,Have a Good Trip: Adventure…,Movie,11-May-20,2
5/14/2020,7,Grey's Anatomy,TV Show,15-Sep-14,3
5/14/2020,8,Sleepless,Movie,9-May-20,6
5/14/2020,9,Ozark,TV Show,21-Jul-17,41
5/14/2020,10,Hollywood,TV Show,1-May-20,12
5/15/2020,1,The Wrong Missy,Movie,13-May-20,2
